difficulty,question,options,answer,explanation
Beginner,What is money used for?,A. Eating; B. Sleeping; C. Buying things; D. Running,C. Buying things,Money is used to buy goods and services we need or want.
Beginner,"If you have 5 apples and you sell 2, how many apples do you have left?",A. 2; B. 3; C. 5; D. 7,B. 3,5 apples - 2 apples sold = 3 apples remaining.
Beginner,Why is it important to save some of your pocket money?,A. To have money for bigger things you want later; B. To lose it; C. So you have less to carry; D. To give it all away,A. To have money for bigger things you want later,Saving allows you to buy more expensive items in the future.
Beginner,What happens when you spend all your money on candy?,A. You have more money; B. You have no money left; C. You get extra candy; D. Your money grows,B. You have no money left,Spending all your money leaves you with none for other things.
Beginner,"If you get $2 every day for doing chores, how much will you have after 5 days?",A. $5; B. $7; C. $10; D. $2,C. $10,$2/day × 5 days = $10.
Beginner,What is a piggy bank used for?,A. Eating; B. Saving money; C. Playing music; D. Cooking food,B. Saving money,A piggy bank is a container used to save coins and small amounts of money.
Beginner,Why should you save your coins instead of spending them immediately?,A. So you can lose them later; B. To have money for something special; C. Because coins are heavy; D. So your friends can't have them,B. To have money for something special,Saving helps you afford bigger or more important items later.
Beginner,What can you do to earn extra pocket money?,A. Watch TV; B. Help with household chores; C. Sleep all day; D. Play video games,B. Help with household chores,Doing chores can earn you extra money from your parents or guardians.
Beginner,"If you save one dollar every day, how much will you have after one week?",A. $5; B. $7; C. $10; D. $1,B. $7,$1/day × 7 days = $7.
Beginner,What is the difference between needs and wants?,"A. Needs are must have things, wants are wish to have things; B. Needs are toys, wants are food; C. Needs and wants are the same; D. Wants are must have things, needs are extra things","A. Needs are must have things, wants are wish to have things","Needs are essential for living (like food and shelter), while wants are extras."
Beginner,What do you call the money you get for doing tasks or chores?,A. Salary; B. Allowance; C. Investment; D. Loan,B. Allowance,"An allowance is the money you receive regularly for doing tasks or chores, usually from your parents."
Beginner,Where do you keep your saved money?,A. In a piggy bank; B. Under your pillow; C. In a backpack; D. On the floor,A. In a piggy bank,A piggy bank is a safe place to store your saved money until you're ready to use it.
Beginner,What is earning money called?,A. Saving; B. Spending; C. Earning; D. Borrowing,C. Earning,Earning money means receiving money in exchange for work or services you provide.
Beginner,"If you buy a toy for $10 and have $15, how much money will you have left after the purchase?",A. $5; B. $10; C. $15; D. $25,A. $5,Subtracting the cost of the toy ($10) from your total money ($15) leaves you with $5.
Beginner,What is the term for using money to buy something you want?,A. Saving; B. Investing; C. Spending; D. Donating,C. Spending,Spending means using your money to purchase goods or services you desire.
Beginner,"If you earn $5 from selling lemonade and spend $2 on cups, how much do you save?",A. $2; B. $3; C. $5; D. $7,B. $3,Subtracting your expenses ($2) from your earnings ($5) leaves you with $3 saved.
Beginner,What is it called when you put money aside for later use?,A. Spending; B. Saving; C. Earning; D. Borrowing,B. Saving,Saving involves setting aside money to use in the future instead of spending it immediately.
Beginner,"If you save $1 every day, how much will you have after 10 days?",A. $5; B. $10; C. $15; D. $20,B. $10,Saving $1 each day for 10 days results in a total of $10.
Beginner,What is the place where you can keep your savings?,A. Wallet; B. Bank; C. Store; D. Garage,B. Bank,Banks are institutions where you can deposit and keep your savings safe.
Beginner,What do you call money that you borrow and have to pay back later?,A. Gift; B. Loan; C. Savings; D. Investment,B. Loan,"A loan is money you borrow with the agreement to repay it in the future, often with interest."
Intermediate,What is a budget?,A. A plan for how to spend and save money; B. A type of video game; C. A place to keep toys; D. A new kind of candy,A. A plan for how to spend and save money,A budget helps you manage your money by planning expenses and savings.
Intermediate,Why should you compare prices before buying something?,A. To waste time; B. To find the best deal and save money; C. To buy the most expensive item; D. To confuse yourself,B. To find the best deal and save money,Comparing prices helps you spend less and save more.
Intermediate,What is interest in a savings account?,A. Extra money the bank gives you for saving; B. A fee you pay to the bank; C. Money you lose every month; D. A game you play at the bank,A. Extra money the bank gives you for saving,Interest is a small percentage of your savings paid to you by the bank.
Intermediate,What should you do if you want to buy a bike that costs more than you have?,A. Steal it; B. Save money until you can afford it; C. Forget about it; D. Demand it for free,B. Save money until you can afford it,Saving over time helps you buy more expensive items responsibly.
Intermediate,"If you have $20 and spend $15 on a game, how much do you have left?",A. $35; B. $5; C. $15; D. $20,B. $5,$20 - $15 = $5 remaining.
Intermediate,Why is it important to set a savings goal?,A. To spend more money; B. To have a target to work towards; C. To avoid saving; D. To impress friends,B. To have a target to work towards,Goals motivate you to save and help you track progress.
Intermediate,"What is the benefit of saving regularly, even small amounts?",A. It doesn't help; B. Small amounts add up over time; C. You lose money; D. It's boring,B. Small amounts add up over time,Consistent saving grows your savings significantly over time.
Intermediate,Why should you keep track of your spending?,A. To spend more; B. To know where your money goes; C. To confuse yourself; D. It isn't important,B. To know where your money goes,Tracking spending helps you manage money better.
Intermediate,"If you borrow $5 from a friend and pay back $5, how much interest did you pay?",A. $1; B. $0; C. $5; D. $10,B. $0,Paying back the same amount means no interest was paid.
Intermediate,What is a wise way to use your allowance?,A. Spend it all immediately; B. Save some and spend some; C. Lose it; D. Give it all away,B. Save some and spend some,Balancing saving and spending helps build good financial habits.
Intermediate,What is the term for money you receive regularly for doing a job?,A. Donation; B. Allowance; C. Salary; D. Gift,C. Salary,A salary is the regular payment received for work or services provided.
Intermediate,"If you have $50 and spend $20 on books, how much do you have left?",A. $30; B. $20; C. $50; D. $70,A. $30,Subtracting $20 from $50 leaves you with $30.
Intermediate,What do you call a plan that helps you decide how to use your money?,A. Budget; B. Savings; C. Investment; D. Loan,A. Budget,A budget is a plan that outlines how you will spend and save your money.
Intermediate,"If you save $200 in a year, how much do you save each month?",A. Approximately $16.67; B. $10; C. $20; D. $25,A. Approximately $16.67,Dividing $200 by 12 months equals approximately $16.67 saved each month.
Intermediate,What is the extra money you earn from your savings called?,A. Interest; B. Profit; C. Dividend; D. Commission,A. Interest,Interest is the additional money earned from keeping your savings in a bank account.
Intermediate,What do you call money spent on needs like food and shelter?,A. Wants; B. Savings; C. Expenses; D. Investments,C. Expenses,"Expenses are the costs incurred for essential needs such as food, housing, and clothing."
Intermediate,"If you invest $100 and earn $10, what is your return?",A. 5%; B. 10%; C. 15%; D. 20%,B. 10%,Earning $10 from a $100 investment is a 10% return.
